cricket	sostenitore	bn:00462932n	bn:00070154n	cricket	sostenitore
scultura	statua	bn:00069924n	bn:00074064n	sculpture,jpg,file	statue,sculpture,jpg
browser	Mozilla Firefox	bn:00013447n	bn:01387235n	browser,browser_web,navigatore	mozilla_firefox,firefox,electrolysis
Fox Terrier	Canon	bn:03237376n	bn:03476756n	fox_terrier,fox_terrier_a_pelo_liscio,fox_terrier_a_pelo_ruvido	canon
HSBC	Gran Bretagna	bn:02580408n	bn:00013173n	hsbc,hsbc_holdings,hong_kong_and_shanghai_banking_corporation	gb,gran_bretagna,inghilterra
Bibbia	Vangelo	bn:00010217n	bn:00031976n	bibbia,sacra_scrittura,sacra_bibbia	jesus,gospel,luke
vestito	danza	bn:00006125n	bn:00025142n	clothing,wear,garment	ballo,danza,danzatore
array	lista	bn:02756908n	bn:02117586n	vector,array,vettore	comprensione_di_lista,list_comprehension,lista
cella	gattabuia	bn:00017031n	bn:00064468n	cella,carcere_cella,cella_di_prigione	prison,prisoner,inmate
saggio	compito a casa	bn:00021410n	bn:00069626n	componimento,elaborato,relazione	homework,preppy,student
computer	macchina	bn:00054739n	bn:00052571n	pc,personal_computer,microcomputer	apparato,macchinario,machinery
panda	orso polare	bn:00002174n	bn:00045719n	ailuropoda_melanoleuca,panda,panda_gigante	orso_bianco,orso_polare,ursus_maritimus
nevrosi	mente	bn:00057430n	bn:00023658n	personality,neuroticism,trait	cervello,ingegno,mente
campagna	scimmia	bn:00023237n	bn:00004847n	campagna,area_rurale,aree_rurali	ape,primate,chimpanzee
costante di Faraday	zaino	bn:00033657n	bn:00069639n	faraday,m.-faraday,michael_faraday	cartella,zainetto,zaino
palazzo	grattacielo	bn:00013722n	bn:00072030n	building,skyscraper,house	skyscraper,building,tall
elicottero	aereo	bn:00018734n	bn:00002275n	helicopter,aircraft,rotor	aircraft,flight,wing
Università di Cambridge	Università di Oxford	bn:00014988n	bn:00059980n	università_di_cambridge,cambridge_university,university_of_cambridge	università_di_oxford,oxford_university,university_of_oxford
bandiera	asta	bn:00030968n	bn:00034964n	flag,ensign,national flag	asta,asta_della_bandiera
finestra	tetto	bn:00081285n	bn:00068220n	window,glass,pane	dome,roof,vault
gioco di carte	frisbee	bn:00015923n	bn:00036583n	gioco_di_carte,giochi_di_carte,giochi_con_le_carte	frisbee,freesbee,freesbi
malware	worm	bn:01363738n	bn:15751306n	malware,software,user	worm
pianeta	stella	bn:00052888n	bn:00073964n	planet,orbit,jupiter	star,mass,white dwarf
corridore	atleta	bn:00068552n	bn:00006747n	run,runner,running	atleta,sportivo,sportiva
calibro	ombrello	bn:00012226n	bn:00078920n	alesaggio,calibro,gauge	umbrella,penguin,oil-paper
WiFi	WikiLeaks	bn:00081176n	bn:03777357n	wireless,wi-fi,network	wikileaks,cablegate,pubblicazione_dei_documenti_diplomatici_statunitensi
siccità	acqua	bn:00028863n	bn:00042379n	water,drought,famine	water,groundwater,ice
aeroporto	pezzo	bn:00001676n	bn:00062297n	airport,terminal,runway	istmo,pezzo,parte
orchestra	banda	bn:00059285n	bn:15139520n	orchestra,conductor,symphony orchestra	banda_musicale,banda,orchestra_di_fiati
mojito	mohito	bn:01361585n	bn:01361585n	mojito,mohito	mojito,mohito
programma	esame	bn:01245565n	bn:00032089n	student,syllabus,curriculum	compito_in_classe,esame,prova
teorema	teoria	bn:00076831n	bn:00045632n	theorem,proof,axiom	hypothesis,theory,science
yo-yo	giocattolo	bn:00081921n	bn:00062965n	yo-yo,toy,diabolo	balocco,gingillo,giocattolo
tormenta	pioggia	bn:00074458n	bn:00028809n	storm,wind,cyclone	precipitation,cloud,water
storico	storiografo	bn:00044258n	bn:00044258n	history,historian,bede	history,historian,bede
Siemens	treno elettrico	bn:21706603n	None	siemens,siemens_ag	
secolo	anno	bn:00031261n	bn:00004379n	epoca,era,età	calendar,day,year
lega	acciaio	bn:00002936n	bn:00074123n	alloy,metal,copper	steel,iron,alloy
magistrato	giudice	bn:00052701n	bn:00048488n	court,magistrate,judge	judge,court,magistrate
caos	classe	bn:00009503n	bn:21706240n	babele,babilonia,baraonda	classe,classe_scolastica
formazione a distanza	internet	bn:00022864n	bn:00024712n	scuola_per_corrispondenza,corrispondenza_scuola,corsi_per_corrispondenza	internet,network,access
sabbia	piede	bn:00069126n	bn:00035679n	sand,soil,clay	piede,dita_dei_piedi,impronte_di_piede
IMF	Deutsche Bank	bn:00045995n	bn:03315023n		deutsche_bank
Guardian	Times	bn:01206062n	bn:03113174n		the_times,times,times_online
baco da seta	Via della Seta	bn:00011961n	bn:00071602n	baco_da_seta,bombyx_mori,bachi_da_seta	via_della_seta,la_via_della_seta,vie_della_seta
libertà	oasi	bn:00007389n	bn:00058412n	autonomy,autonomous,self-determination	oasis,water,desert
citoplasma	dito	bn:00024905n	bn:00077465n	cell,protein,cytoplasm	toe,foot,bone
protestante	cristiano	bn:00064869n	bn:00018828n	protestantesimo,chiesa_protestante,chiese_protestanti	cristianesimo,cristianità,chiese_cristiane
Leonardo da Vinci	L'Ultima Cena	bn:00024948nb	n:03599114n		
mappa	piazza	bn:00053303n	bn:00062214n	map,scale,projection	plaza,piazza,square
